epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.881807,3.34996,5.81785,4.33409,0,0,0,0,3.22479,5.83459,4.15852,0,0,0
2,2.00828,3.4583,5.64818,4.31826,0,0,0,0,3.22484,5.83447,4.15817,1.17822e-06,1.17822e-06,1.17822e-06
3,3.09425,3.3119,5.7202,4.21467,0,0,0,0,3.22492,5.83441,4.15782,2.33288e-06,2.33288e-06,2.33288e-06
4,4.22266,3.02309,5.60499,4.28499,0,0,0,0,3.22498,5.83437,4.15745,3.46397e-06,3.46397e-06,3.46397e-06
5,5.34532,3.14469,5.57719,4.15728,0,0,0,0,3.22503,5.83431,4.15713,4.5715e-06,4.5715e-06,4.5715e-06
6,6.5842,3.29319,5.67516,4.307,0,0,0,0,3.2251,5.83428,4.15676,5.65548e-06,5.65548e-06,5.65548e-06
7,7.72219,3.60822,5.82399,4.26879,0,0,0,0,3.22516,5.83423,4.15643,6.71588e-06,6.71588e-06,6.71588e-06
8,8.92352,2.99547,5.85156,4.32829,0,0,0,0,3.22522,5.83418,4.15608,7.75273e-06,7.75273e-06,7.75273e-06
9,10.0691,3.18154,5.70551,4.23499,0,0,0,0,3.22528,5.83407,4.15574,8.76602e-06,8.76602e-06,8.76602e-06
10,11.2681,3.62238,5.84375,4.42452,0,0,0,0,3.22534,5.83408,4.15541,9.75574e-06,9.75574e-06,9.75574e-06
11,12.5066,3.22914,5.7895,4.20154,0,0,0,0,3.2254,5.83399,4.15505,1.07219e-05,1.07219e-05,1.07219e-05
12,13.6302,3.31464,5.68642,4.27583,0,0,0,0,3.22546,5.83384,4.15471,1.16645e-05,1.16645e-05,1.16645e-05
13,14.8041,2.76146,5.67014,4.22774,0,0,0,0,3.22552,5.83372,4.1544,1.25835e-05,1.25835e-05,1.25835e-05
14,15.9127,3.05506,5.75369,4.25706,0,0,0,0,3.22558,5.83366,4.15408,1.3479e-05,1.3479e-05,1.3479e-05
15,17.0502,3.2532,5.79337,4.196,0,0,0,0,3.22564,5.83361,4.15377,1.43509e-05,1.43509e-05,1.43509e-05
16,18.1757,3.21554,5.54651,4.22091,0,0,0,0,3.2257,5.83371,4.15345,1.51993e-05,1.51993e-05,1.51993e-05
17,19.2986,3.06399,5.61066,4.22933,0,0,0,0,3.22575,5.83363,4.15318,1.60241e-05,1.60241e-05,1.60241e-05
18,20.5748,3.45635,5.63144,4.29771,0,0,0,0,3.22575,5.83363,4.15318,1.68253e-05,1.68253e-05,1.68253e-05
19,21.7483,3.28321,5.72474,4.26145,0,0,0,0,3.22585,5.83374,4.15261,1.7603e-05,1.7603e-05,1.7603e-05
20,22.7942,3.85937,5.85257,4.33974,0,0,0,0,3.22585,5.83374,4.15261,1.83571e-05,1.83571e-05,1.83571e-05
21,23.95,3.84604,5.66698,4.21865,0,0,0,0,3.22597,5.83365,4.15199,1.90876e-05,1.90876e-05,1.90876e-05
22,24.9884,3.45435,5.78675,4.27398,0,0,0,0,3.22597,5.83365,4.15199,1.97946e-05,1.97946e-05,1.97946e-05
23,26.2298,3.02864,5.79305,4.27375,0,0,0,0,3.2128,5.83403,4.15124,2.0478e-05,2.0478e-05,2.0478e-05
24,27.273,2.62567,5.7901,4.33819,0,0,0,0,3.2128,5.83403,4.15124,2.11379e-05,2.11379e-05,2.11379e-05
25,28.5714,2.82202,5.76605,4.21993,0,0,0,0,3.21282,5.83408,4.15069,2.17741e-05,2.17741e-05,2.17741e-05
26,29.7286,3.80896,5.72837,4.3803,0,0,0,0,3.21282,5.83408,4.15069,2.23869e-05,2.23869e-05,2.23869e-05
27,31.0603,3.38289,5.7854,4.31151,0,0,0,0,3.21283,5.83425,4.15013,2.2976e-05,2.2976e-05,2.2976e-05
28,32.3119,3.43212,5.67229,4.25612,0,0,0,0,3.21283,5.83425,4.15013,2.35417e-05,2.35417e-05,2.35417e-05
29,33.6268,4.00611,5.82339,4.42085,0,0,0,0,3.21284,5.83413,4.14963,2.40837e-05,2.40837e-05,2.40837e-05
30,34.8071,3.17957,5.79165,4.39269,0,0,0,0,3.21284,5.83413,4.14963,2.46022e-05,2.46022e-05,2.46022e-05
31,36.1085,3.71118,5.7474,4.25923,0,0,0,0,3.21285,5.83423,4.14913,2.50971e-05,2.50971e-05,2.50971e-05
32,37.3085,3.3341,5.78901,4.42667,0,0,0,0,3.21285,5.83423,4.14913,2.55685e-05,2.55685e-05,2.55685e-05
33,38.6699,3.36063,5.65033,4.24314,0,0,0,0,3.21288,5.83426,4.14866,2.60163e-05,2.60163e-05,2.60163e-05
34,39.8441,3.30357,5.72987,4.25838,0,0,0,0,3.21288,5.83426,4.14866,2.64405e-05,2.64405e-05,2.64405e-05
35,41.1766,3.24504,5.69994,4.24374,0,0,0,0,3.21288,5.83414,4.1482,2.68412e-05,2.68412e-05,2.68412e-05
36,42.4686,3.17225,5.72529,4.27751,0,0,0,0,3.21288,5.83414,4.1482,2.72183e-05,2.72183e-05,2.72183e-05
37,43.7893,3.52231,5.67155,4.17055,0,0,0,0,3.21287,5.834,4.14773,2.75718e-05,2.75718e-05,2.75718e-05
38,45.167,2.7916,5.81382,4.24262,0,0,0,0,3.21287,5.834,4.14773,2.79018e-05,2.79018e-05,2.79018e-05
39,46.6476,3.18873,5.67682,4.21633,0,0,0,0,3.21283,5.83385,4.14728,2.82082e-05,2.82082e-05,2.82082e-05
40,47.842,3.39697,5.95379,4.3355,0,0,0,0,3.21283,5.83385,4.14728,2.84911e-05,2.84911e-05,2.84911e-05
41,49.1695,3.17774,5.74143,4.29961,0,0,0,0,3.21281,5.83378,4.14691,2.87504e-05,2.87504e-05,2.87504e-05
42,50.3526,3.57756,5.70587,4.20236,0,0,0,0,3.21281,5.83378,4.14691,2.89861e-05,2.89861e-05,2.89861e-05
43,51.6587,3.19168,5.61108,4.30869,0,0,0,0,3.2128,5.83381,4.14651,2.91983e-05,2.91983e-05,2.91983e-05
